,date,stars
0,2009-03-08,3
1,2009-07-27,4
2,2009-09-18,2
3,2010-01-08,1
4,2010-03-10,2
5,2010-07-21,4
6,2010-09-05,4
7,2010-11-12,2
8,2010-11-14,1
9,2011-03-01,1
10,2011-04-24,4
11,2011-05-08,4
12,2011-06-12,3
13,2011-08-08,5
14,2011-08-14,4
15,2011-11-21,5
16,2011-11-30,1
17,2012-01-03,5
18,2012-01-18,5
19,2012-01-24,4
20,2012-01-24,3
21,2012-05-06,1
22,2012-07-11,5
23,2012-08-21,4
24,2012-08-22,4
25,2012-09-28,2
26,2012-12-12,5
27,2013-04-26,2
28,2013-05-10,3
29,2013-08-19,4
30,2013-09-30,2
31,2013-12-26,5
32,2014-02-08,2
33,2014-02-16,2
34,2014-05-04,5
35,2014-06-05,3
36,2014-08-14,1
37,2014-08-25,5
38,2014-10-07,1
39,2014-10-07,1
40,2014-10-07,1
41,2014-10-07,1
42,2014-10-14,5
43,2014-11-05,3
44,2014-11-06,1
